更新时间,#genre#
2024-12-06 18:28:07,url
央视频道(ipv4区),#genre#
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550$组播源
CCTV1,http://123.113.189.90:8001/rtp/239.3.1.129:8008$组播源
CCTV1,http://111.192.0.32:4022/rtp/239.3.1.129:8008$组播源
CCTV1,http://123.113.187.204:8000/udp/239.3.1.129:8008$订阅源
CCTV1,http://60.255.240.247:8090/live/CCTV-1H265_4000.m3u8$订阅源
CCTV1,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://123.113.189.90:8001/rtp/239.3.1.60:8084$组播源
CCTV2,http://222.129.139.91:8888/rtp/239.3.1.60:8084$组播源
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250$组播源
CCTV2,http://60.7.56.33:4000/udp/239.253.92.190:6065$订阅源
CCTV2,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=cctv2$订阅源
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV3,http://60.7.56.33:4000/rtp/239.253.92.191:6057$组播源
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370$组播源
CCTV3,http://123.113.189.90:8001/rtp/239.3.1.172:8001$组播源
CCTV3,http://59.48.75.130:3052/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://119.36.148.115:59901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://182.92.109.190:1668/72/72.php?id=cctv3$订阅源
CCTV4,http://www.furymax.top:85/rtp/239.69.1.138:10466$组播源
CCTV4,http://123.113.189.90:8001/rtp/239.3.1.105:8092$组播源
CCTV4,http://111.192.0.32:4022/rtp/239.3.1.214:4220$组播源
CCTV4,http://101.23.216.69:8090/hls/12/index.m3u8$订阅源
CCTV4,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=Cctv4$订阅源
CCTV4,http://113.57.93.165:9900/tsfile/live/0004_1.m3u8$订阅源
CCTV5,http://60.7.56.33:4000/rtp/239.253.92.181:6046$组播源
CCTV5,http://123.113.189.90:8001/rtp/239.3.1.173:8001$组播源
CCTV5,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源
CCTV5,http://101.23.216.69:8090/hls/13/index.m3u8$订阅源
CCTV5,http://fangke.blueswords.com:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV5,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8$订阅源
CCTV5+,http://123.113.189.90:8001/rtp/239.3.1.130:8004$组播源
CCTV5+,http://60.7.56.33:4000/rtp/239.253.92.82:8013$组播源
CCTV5+,http://www.furymax.top:85/rtp/239.254.96.234:9484$组播源
CCTV5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV5+,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV5+,http://222.129.139.229:8888/udp/239.3.1.130:8004$订阅源
CCTV6,http://www.furymax.top:85/rtp/239.69.1.124:10382$组播源
CCTV6,http://123.113.189.90:8001/rtp/239.3.1.174:8001$组播源
CCTV6,http://222.129.139.91:8888/rtp/239.3.1.174:8001$组播源
CCTV6,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV6,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV6,http://zisong2014.oicp.net:4022/udp/225.1.1.195:5002$订阅源
CCTV7,http://60.7.56.33:4000/rtp/239.253.92.194:6059$组播源
CCTV7,http://123.113.189.90:8001/rtp/239.3.1.61:8104$组播源
CCTV7,http://www.furymax.top:85/rtp/239.69.1.103:10256$组播源
CCTV7,http://218.89.240.144:59901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
